project;class;from;to;metric
PMD;net.sourceforge.pmd.rules.AvoidCallingFinalize;Set;List;0.0
PMD;net.sourceforge.pmd.rules.AvoidCallingFinalize;Set;Map;0.77
PMD;net.sourceforge.pmd.rules.AvoidReassigningParameters;Map;List;1.0
PMD;net.sourceforge.pmd.rules.AvoidReassigningParameters;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.BeanMembersShouldSerializeRule;List;Map;0.39
PMD;net.sourceforge.pmd.rules.BeanMembersShouldSerializeRule;List;Set;0.6
PMD;net.sourceforge.pmd.rules.BeanMembersShouldSerializeRule;Map;List;0.44
PMD;net.sourceforge.pmd.rules.BeanMembersShouldSerializeRule;Map;Set;0.97
PMD;net.sourceforge.pmd.rules.CloseResource;List;Map;1.0
PMD;net.sourceforge.pmd.rules.CloseResource;List;Set;0.0
PMD;net.sourceforge.pmd.rules.CloseResource;Set;List;0.0
PMD;net.sourceforge.pmd.rules.CloseResource;Set;Map;0.76
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder;List;Map;0.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorHolder;List;Set;0.85
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorInvocation;List;Map;0.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.ConstructorInvocation;List;Set;0.85
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.MethodInvocation;List;Map;1.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod.MethodInvocation;List;Set;0.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;List;Map;0.51
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;List;Set;0.6
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;Map;List;1.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;Set;List;0.0
PMD;net.sourceforge.pmd.rules.ConstructorCallsOverridableMethod;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.CouplingBetweenObjects;List;Map;0.0
PMD;net.sourceforge.pmd.rules.CouplingBetweenObjects;List;Set;0.0
PMD;net.sourceforge.pmd.rules.CouplingBetweenObjects;Set;List;0.0
PMD;net.sourceforge.pmd.rules.CouplingBetweenObjects;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.CyclomaticComplexity;List;Map;1.0
PMD;net.sourceforge.pmd.rules.CyclomaticComplexity;List;Set;1.0
PMD;net.sourceforge.pmd.rules.DoubleCheckedLocking;List;Map;0.0
PMD;net.sourceforge.pmd.rules.DoubleCheckedLocking;List;Set;0.85
PMD;net.sourceforge.pmd.rules.ExcessiveImports;Set;List;0.0
PMD;net.sourceforge.pmd.rules.ExcessiveImports;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.IdempotentOperations;List;Map;0.0
PMD;net.sourceforge.pmd.rules.IdempotentOperations;List;Set;0.0
