project;class;from;to;metric
Jedit;org.gjt.sp.jedit.gui.OptionsDialog;List;Map;0.92
Jedit;org.gjt.sp.jedit.gui.OptionsDialog;List;Set;0.82
Jedit;org.gjt.sp.jedit.gui.OptionsDialog;Map;List;0.86
Jedit;org.gjt.sp.jedit.gui.OptionsDialog;Map;Set;1.0
Jedit;org.gjt.sp.jedit.gui.PanelWindowContainer;List;Map;0.85
Jedit;org.gjt.sp.jedit.gui.PanelWindowContainer;List;Set;0.84
Jedit;org.gjt.sp.jedit.gui.ToolBarManager;List;Map;0.86
Jedit;org.gjt.sp.jedit.gui.ToolBarManager;List;Set;0.86
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorDialog.MyActionListener;List;Map;0.8
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorDialog.MyActionListener;List;Set;0.8
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorDialog;List;Map;1.0
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorDialog;List;Set;0.92
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter;List;Map;0.93
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight.MyMouseAdapter;List;Set;0.92
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight;List;Map;0.93
Jedit;org.gjt.sp.jedit.gui.statusbar.ErrorsWidgetFactory.ErrorHighlight;List;Set;0.92
Jedit;org.gjt.sp.jedit.help.HelpHistoryModel;List;Map;0.86
Jedit;org.gjt.sp.jedit.help.HelpHistoryModel;List;Set;0.86
Jedit;org.gjt.sp.jedit.help.HelpIndex;List;Map;0.88
Jedit;org.gjt.sp.jedit.help.HelpIndex;List;Set;0.88
Jedit;org.gjt.sp.jedit.help.HelpIndex;Map;List;0.88
Jedit;org.gjt.sp.jedit.help.HelpIndex;Map;Set;0.97
Jedit;org.gjt.sp.jedit.help.HelpSearchPanel;Map;List;1.0
Jedit;org.gjt.sp.jedit.help.HelpSearchPanel;Map;Set;1.0
Jedit;org.gjt.sp.jedit.help.HelpTOCPanel.TOCHandler;List;Map;1.0
Jedit;org.gjt.sp.jedit.help.HelpTOCPanel.TOCHandler;List;Set;1.0
Jedit;org.gjt.sp.jedit.help.HelpTOCPanel;Map;List;0.86
Jedit;org.gjt.sp.jedit.help.HelpTOCPanel;Map;Set;1.0
Jedit;org.gjt.sp.jedit.indent.CloseBracketIndentRule;List;Map;1.0
Jedit;org.gjt.sp.jedit.indent.CloseBracketIndentRule;List;Set;0.75
Jedit;org.gjt.sp.jedit.indent.DeepIndentRule.Parens;List;Map;0.98
Jedit;org.gjt.sp.jedit.indent.DeepIndentRule.Parens;List;Set;0.97
Jedit;org.gjt.sp.jedit.indent.DeepIndentRule;List;Map;0.89
