project;class;from;to;metric
JFreechart;org.jfree.data.category.DefaultCategoryDataset;List;Set;0.0
JFreechart;org.jfree.data.category.SlidingCategoryDataset;List;Map;1.0
JFreechart;org.jfree.data.category.SlidingCategoryDataset;List;Set;0.0
JFreechart;org.jfree.data.contour.DefaultContourDataset;List;Map;1.0
JFreechart;org.jfree.data.contour.DefaultContourDataset;List;Set;0.0
JFreechart;org.jfree.data.gantt.SlidingGanttCategoryDataset;List;Map;1.0
JFreechart;org.jfree.data.gantt.SlidingGanttCategoryDataset;List;Set;0.0
JFreechart;org.jfree.data.gantt.Task;List;Map;0.31
JFreechart;org.jfree.data.gantt.Task;List;Set;0.6
JFreechart;org.jfree.data.gantt.TaskSeries;List;Map;0.31
JFreechart;org.jfree.data.gantt.TaskSeries;List;Set;0.6
JFreechart;org.jfree.data.gantt.TaskSeriesCollection;List;Map;0.65
JFreechart;org.jfree.data.gantt.TaskSeriesCollection;List;Set;0.63
JFreechart;org.jfree.data.general.AbstractDataset;List;Map;1.0
JFreechart;org.jfree.data.general.AbstractDataset;List;Set;0.0
JFreechart;org.jfree.data.general.CombinedDataset;List;Map;0.39
JFreechart;org.jfree.data.general.CombinedDataset;List;Set;0.6
JFreechart;org.jfree.data.general.DatasetUtilities;List;Map;0.98
JFreechart;org.jfree.data.general.DatasetUtilities;List;Set;0.0
JFreechart;org.jfree.data.general.WaferMapDataset;Set;List;0.0
JFreechart;org.jfree.data.general.WaferMapDataset;Set;Map;0.62
JFreechart;org.jfree.data.io.CSV;List;Map;0.55
JFreechart;org.jfree.data.io.CSV;List;Set;0.67
JFreechart;org.jfree.data.jdbc.JDBCXYDataset;List;Map;0.31
JFreechart;org.jfree.data.jdbc.JDBCXYDataset;List;Set;0.6
JFreechart;org.jfree.data.statistics.BoxAndWhiskerCalculator;List;Map;0.97
JFreechart;org.jfree.data.statistics.BoxAndWhiskerCalculator;List;Set;0.21
JFreechart;org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset;List;Map;0.39
JFreechart;org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset;List;Set;0.6
JFreechart;org.jfree.data.statistics.DefaultMultiValueCategoryDataset;List;Map;0.66
JFreechart;org.jfree.data.statistics.DefaultMultiValueCategoryDataset;List;Set;0.69
JFreechart;org.jfree.data.statistics.HistogramDataset;List;Map;0.39
JFreechart;org.jfree.data.statistics.HistogramDataset;List;Set;0.6
JFreechart;org.jfree.data.statistics.HistogramDataset;Map;List;0.55
JFreechart;org.jfree.data.statistics.HistogramDataset;Map;Set;1.0
JFreechart;org.jfree.data.statistics.SimpleHistogramDataset;List;Map;0.64
JFreechart;org.jfree.data.statistics.SimpleHistogramDataset;List;Set;0.6
JFreechart;org.jfree.data.statistics.Statistics;List;Map;0.39
JFreechart;org.jfree.data.statistics.Statistics;List;Set;0.6
JFreechart;org.jfree.data.time.TimePeriodValues;List;Map;0.31
JFreechart;org.jfree.data.time.TimePeriodValues;List;Set;0.6
JFreechart;org.jfree.data.time.TimePeriodValuesCollection;List;Map;0.52
JFreechart;org.jfree.data.time.TimePeriodValuesCollection;List;Set;0.6
JFreechart;org.jfree.data.time.TimeSeries;List;Map;0.31
JFreechart;org.jfree.data.time.TimeSeries;List;Set;0.6
JFreechart;org.jfree.data.time.TimeSeriesCollection;List;Map;0.65
JFreechart;org.jfree.data.time.TimeSeriesCollection;List;Set;0.69
JFreechart;org.jfree.data.time.TimeTableXYDataset;List;Map;0.0
JFreechart;org.jfree.data.time.TimeTableXYDataset;List;Set;0.85
JFreechart;org.jfree.data.time.ohlc.OHLCSeriesCollection;List;Map;0.39
JFreechart;org.jfree.data.time.ohlc.OHLCSeriesCollection;List;Set;0.6
JFreechart;org.jfree.data.xml.CategoryDatasetHandler;List;Map;1.0
JFreechart;org.jfree.data.xml.CategoryDatasetHandler;List;Set;1.0
JFreechart;org.jfree.data.xml.CategorySeriesHandler;List;Map;1.0
JFreechart;org.jfree.data.xml.CategorySeriesHandler;List;Set;0.0
JFreechart;org.jfree.data.xml.PieDatasetHandler;List;Map;1.0
JFreechart;org.jfree.data.xml.PieDatasetHandler;List;Set;1.0
JFreechart;org.jfree.data.xml.RootHandler;List;Map;0.77
JFreechart;org.jfree.data.xml.RootHandler;List;Set;0.9
JFreechart;org.jfree.data.xy.DefaultIntervalXYDataset;List;Map;0.31
JFreechart;org.jfree.data.xy.DefaultIntervalXYDataset;List;Set;0.6
JFreechart;org.jfree.data.xy.DefaultTableXYDataset;List;Map;0.49
JFreechart;org.jfree.data.xy.DefaultTableXYDataset;List;Set;0.46
JFreechart;org.jfree.data.xy.DefaultTableXYDataset;Set;List;0.0
JFreechart;org.jfree.data.xy.DefaultTableXYDataset;Set;Map;0.8
JFreechart;org.jfree.data.xy.DefaultWindDataset;List;Map;0.39
JFreechart;org.jfree.data.xy.DefaultWindDataset;List;Set;0.6
JFreechart;org.jfree.data.xy.DefaultXYDataset;List;Map;0.49
JFreechart;org.jfree.data.xy.DefaultXYDataset;List;Set;0.69
JFreechart;org.jfree.data.xy.DefaultXYZDataset;List;Map;0.49
JFreechart;org.jfree.data.xy.DefaultXYZDataset;List;Set;0.69
JFreechart;org.jfree.data.xy.MatrixSeriesCollection;List;Map;0.49
JFreechart;org.jfree.data.xy.MatrixSeriesCollection;List;Set;0.46
JFreechart;org.jfree.data.xy.VectorSeries;List;Map;0.0
JFreechart;org.jfree.data.xy.VectorSeries;List;Set;0.0
JFreechart;org.jfree.data.xy.VectorSeriesCollection;List;Map;0.49
JFreechart;org.jfree.data.xy.VectorSeriesCollection;List;Set;0.69
JFreechart;org.jfree.data.xy.XIntervalSeriesCollection;List;Map;0.49
JFreechart;org.jfree.data.xy.XIntervalSeriesCollection;List;Set;0.46
JFreechart;org.jfree.data.xy.XYIntervalSeriesCollection;List;Map;0.49
JFreechart;org.jfree.data.xy.XYIntervalSeriesCollection;List;Set;0.63
JFreechart;org.jfree.data.xy.XYSeries;List;Map;0.72
JFreechart;org.jfree.data.xy.XYSeries;List;Set;0.6
JFreechart;org.jfree.data.xy.XYSeriesCollection;List;Map;0.65
JFreechart;org.jfree.data.xy.XYSeriesCollection;List;Set;0.63
JFreechart;org.jfree.data.xy.YIntervalSeriesCollection;List;Map;0.49
JFreechart;org.jfree.data.xy.YIntervalSeriesCollection;List;Set;0.46
