"project";"class";"from";"to";"category";"metric"
"Marauroa";"marauroa.common.game.RPClass";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"List";"other";0.8
"Marauroa";"marauroa.common.game.RPClass";"Map";"Set";"search";1.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"Set";"access";1.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.game.RPClass";"Map";"Set";"other";0.77
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Map";"deletion";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Map";"other";0.93
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Set";"deletion";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"List";"Set";"other";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"List";"access";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"List";"deletion";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"List";"other";1.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"Set";"access";1.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"Set";"deletion";0.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.client.net.PerceptionHandler";"Map";"Set";"other";1.0
"Marauroa";"marauroa.server.game.db.GameEventDAO";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.GameEventDAO";"Map";"Set";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageC2STransferACK";"List";"Map";"insertion";1.0
"Marauroa";"marauroa.common.net.message.MessageC2STransferACK";"List";"Map";"other";0.0
"Marauroa";"marauroa.common.net.message.MessageC2STransferACK";"List";"Set";"insertion";0.0
"Marauroa";"marauroa.common.net.message.MessageC2STransferACK";"List";"Set";"other";0.0
"Marauroa";"marauroa.server.game.db.DAORegister";"Map";"List";"access";0.0
"Marauroa";"marauroa.server.game.db.DAORegister";"Map";"List";"insertion";1.0
"Marauroa";"marauroa.server.game.db.DAORegister";"Map";"Set";"access";1.0
