"project";"class";"from";"to";"category";"metric"
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Set";"deletion";0.6
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Set";"insertion";0.5
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"List";"Set";"other";0.83
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.syntax.ParserRuleSet";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.io.VFSManager.SendVFSUpdatesSafely";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.JEditBuffer";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.jEdit.DockingLayoutSetter";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.jEdit.DockingLayoutSetter";"List";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Map";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.search.HyperSearchOperationNode";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.buffer.PositionManager.PosBottomHalf";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.buffer.PositionManager.PosBottomHalf";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.PluginJAR.PluginCacheEntry";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.PluginJAR.PluginCacheEntry";"Map";"List";"other";0.93
"Jedit";"org.gjt.sp.jedit.PluginJAR.PluginCacheEntry";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.PluginJAR.PluginCacheEntry";"Map";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"List";"Map";"other";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"List";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"Set";"deletion";0.8
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.textarea.DisplayManager";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Set";"List";"other";0.92
"Jedit";"org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl";"Set";"Map";"other";1.0
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"List";"access";0.75
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"List";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"List";"other";1.0
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"Set";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.options.AbbrevsOptionPane";"Map";"Set";"other";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.MirrorList";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.MirrorList";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.io.AutoDetection";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.io.AutoDetection";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Map";"other";0.93
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.gui.AboutDialog.AboutPanel";"List";"Set";"other";0.92
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Map";"access";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Map";"insertion";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Map";"other";0.87
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Set";"access";1.0
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Set";"insertion";0.75
"Jedit";"org.gjt.sp.jedit.pluginmgr.Roster";"List";"Set";"other";0.83
