"project";"class";"from";"to";"category";"metric"
"PMD";"net.sourceforge.pmd.dfa.pathfinder.CurrentPath";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.dcd.DumpNodeVisitor";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.dcd.DumpNodeVisitor";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.jsp.rules.AbstractJspRule";"List";"Map";"other";1.0
"PMD";"net.sourceforge.pmd.jsp.rules.AbstractJspRule";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.ant.Formatter";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.ant.Formatter";"Map";"List";"other";0.93
"PMD";"net.sourceforge.pmd.ant.Formatter";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.ant.Formatter";"Map";"Set";"other";0.92
"PMD";"net.sourceforge.pmd.ant.Formatter";"Set";"List";"other";0.0
"PMD";"net.sourceforge.pmd.ant.Formatter";"Set";"Map";"other";1.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"Map";"List";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.UselessAssignment";"Map";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Set";"deletion";0.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.PMD";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Set";"search";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.PositionalIteratorRule";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.design.PositionalIteratorRule";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.design.GenericClassCounterRule";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.design.GenericClassCounterRule";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.design.GenericClassCounterRule";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.design.GenericClassCounterRule";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.ast.SimpleNode";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.ast.SimpleNode";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.ast.SimpleNode";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.ast.SimpleNode";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.basic.BrokenNullCheck";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.renderers.SummaryHTMLRenderer";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.renderers.SummaryHTMLRenderer";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.renderers.IDEAJRenderer.SourcePath";"Set";"List";"insertion";0.0
